id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,distancia_ao_radar_mais_proximo,proximo_ao_radar
547420,2023-09-08,sexta-feira,17:01:00,SP,116.0,223,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-23.47559815,-46.5246609,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,9.776681874649025,False
547456,2023-09-08,sexta-feira,18:40:00,SP,116.0,219,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Sim,2,0,0,1,1,0,1,2,-23.46143954,-46.48885316,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,11.120018527714294,False
548007,2023-09-11,segunda-feira,08:40:00,SP,116.0,222,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-23.47093408,-46.51631097,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,9.84537446079122,False
548081,2023-09-11,segunda-feira,16:10:00,SP,116.0,223,GUARULHOS,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias;Reta       ,Sim,2,0,0,1,1,0,1,2,-23.47559815,-46.5246609,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,9.776681874649025,False
548169,2023-09-12,terça-feira,07:20:00,PR,116.0,126,CURITIBA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Sim,1,0,0,1,0,0,1,1,-25.60389895,-49.31824423,SPRF-PR,DEL01-PR,UOP03-DEL01-PR,1.4688853336350638,True
548347,2023-09-13,quarta-feira,06:50:00,SP,116.0,230,SAO PAULO,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Curva,Sim,3,0,1,0,2,0,1,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
548408,2023-09-13,quarta-feira,13:20:00,RJ,116.0,225,PIRAI,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,1,0,1,0,0,0,1,1,-22.68023262,-43.81407738,SPRF-RJ,DEL07-RJ,UOP01-DEL07-RJ,28.7344313082251,False
548453,2023-09-13,quarta-feira,18:30:00,SP,116.0,230,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,2,0,1,0,2,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
548829,2023-09-15,sexta-feira,16:30:00,SP,116.0,229,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-23.51291902,-46.57604698,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,12.407579805808773,False
548862,2023-09-15,sexta-feira,18:40:00,SP,116.0,230,SAO PAULO,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,0,1,1,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
549039,2023-09-16,sábado,16:05:00,SP,116.0,223,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,5,0,1,0,4,0,1,2,-23.47559815,-46.5246609,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,9.776681874649025,False
549079,2023-09-16,sábado,19:20:00,PR,116.0,126,FAZENDA RIO GRANDE,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,0,2,0,0,2,-25.60389895,-49.31824423,SPRF-PR,DEL01-PR,UOP03-DEL01-PR,1.4688853336350638,True
549124,2023-09-16,sábado,22:45:00,SP,116.0,230,SAO PAULO,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
549398,2023-09-18,segunda-feira,07:11:00,SP,116.0,225,GUARULHOS,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Reta                   ,Sim,2,0,1,0,1,0,1,2,-23.48586772,-46.54075317,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,10.062584928675596,False
549602,2023-09-19,terça-feira,02:00:00,SP,116.0,222,GUARULHOS,Reação tardia ou ineficiente do condutor,Capotamento,Sem Vítimas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Não,1,0,0,0,0,1,0,1,-23.47093408,-46.51631097,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,9.84537446079122,False
549723,2023-09-19,terça-feira,18:20:00,SP,116.0,220,GUARULHOS,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-23.46472809,-46.49793962,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,10.632769887747752,False
549753,2023-09-19,terça-feira,20:45:00,SP,116.0,230,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,3,2,0,0,0,1,0,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
549860,2023-09-20,quarta-feira,14:20:00,SP,116.0,219,GUARULHOS,Acessar a via sem observar a presença dos outros veículos,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-23.46143954,-46.48885316,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,11.120018527714294,False
549899,2023-09-20,quarta-feira,18:40:00,SP,116.0,230,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,1,0,1,0,0,0,1,1,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
550055,2023-09-21,quinta-feira,13:30:00,RS,116.0,227,DOIS IRMAOS,Condutor Dormindo,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Curva,Não,1,0,0,0,1,0,0,1,-29.60482402,-51.12527692,SPRF-RS,DEL01-RS,UOP02-DEL01-RS,27.863311854268204,False
550114,2023-09-21,quinta-feira,19:40:00,SP,116.0,227,SAO PAULO,Ausência de reação do condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Múltipla,Declive,Não,2,0,0,0,2,0,0,2,-23.49659264,-46.55648754,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,10.776895663123264,False
550382,2023-09-23,sábado,08:30:00,SP,116.0,230,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias;Reta       ,Sim,3,0,1,0,2,0,1,3,-23.518453,-46.582181,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.03835846194868,False
550447,2023-09-23,sábado,16:30:00,SP,116.0,230,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,2,0,2,0,0,0,2,2,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
550516,2023-09-23,sábado,22:50:00,SP,116.0,225,GUARULHOS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Não,6,0,1,0,5,0,1,2,-23.48586772,-46.54075317,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,10.062584928675596,False
550735,2023-09-24,domingo,21:40:00,SP,116.0,230,SAO PAULO,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Ignorado,Múltipla,Reta,Sim,5,0,1,0,3,1,1,3,-23.52251783,-46.5855702,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,13.510494604552933,False
