id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,distancia_ao_radar_mais_proximo,proximo_ao_radar
407177,2022-01-06,quinta-feira,23:00:00,BA,101.0,148,CONCEICAO DO JACUIPE,Pista Escorregadia,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,-12.32206384,-38.73960825,SPRF-BA,DEL01-BA,UOP04-DEL01-BA,9.302283427999008,False
408068,2022-01-11,terça-feira,11:10:00,SC,101.0,207,SAO JOSE,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,Sim,3,0,1,0,2,0,1,3,-27.60001226,-48.6226467,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,0.3114415111845562,True
408249,2022-01-12,quarta-feira,16:33:00,RN,101.0,148,GOIANINHA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Viaduto,Sim,2,0,1,0,1,0,1,2,-6.27949119,-35.20490033,SPRF-RN,DEL01-RN,UOP01-DEL01-RN,782.4699377093125,False
408280,2022-01-12,quarta-feira,19:15:00,SC,101.0,206,SAO JOSE,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-27.59193546,-48.61824557,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,0.7053112351021903,True
408684,2022-01-14,sexta-feira,23:00:00,ES,101.0,148,LINHARES,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,2,1,0,0,1,0,0,2,-19.38787399,-40.06752766,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,1.9808907353238596,True
411093,2022-01-25,terça-feira,13:15:00,SC,101.0,148,ITAPEMA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,0,1,1,0,1,2,-27.10123686,-48.61807962,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,0.5556488778292624,True
411356,2022-01-27,quinta-feira,11:45:00,SC,101.0,205,SAO JOSE,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,0,2,0,0,2,-27.58313237,-48.61532885,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,0.14494209221629775,True
413026,2022-02-05,sábado,11:10:00,ES,101.0,67,SAO MATEUS,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Interseção de Vias,Sim,3,0,2,0,1,0,2,2,-18.72054021,-39.8658931,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,0.6185524683406645,True
413816,2022-02-09,quarta-feira,08:07:00,PE,101.0,70,RECIFE,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,6,0,1,0,5,0,1,4,-8.07195,-34.94251,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,637.0005810554646,False
416644,2022-02-23,quarta-feira,13:00:00,PE,101.0,68,RECIFE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-8.05074296,-34.94580619,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,638.6324973668037,False
417114,2022-02-25,sexta-feira,14:20:00,SC,101.0,205,SAO JOSE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,4,0,3,0,1,0,3,3,-27.58313237,-48.61532885,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,0.14494209221629775,True
417816,2022-02-28,segunda-feira,11:10:00,RJ,101.0,322,NITEROI,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Sim,4,0,1,0,3,0,1,3,-22.878923,-43.110676,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,1.5785602926342504,True
418671,2022-03-04,sexta-feira,15:18:00,AL,101.0,67,MESSIAS,Chuva,Eventos atípicos,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,-9.34144305,-35.83125567,SPRF-AL,DEL01-AL,UOP02-DEL01-AL,465.788405167141,False
418730,2022-03-05,sábado,09:25:00,PE,101.0,68,RECIFE,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Viaduto,Sim,3,0,1,1,1,0,2,2,-8.05074296,-34.94580619,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,638.6324973668037,False
419147,2022-03-07,segunda-feira,09:30:00,PE,101.0,68,RECIFE,Trafegar com motocicleta (ou similar) entre as faixas,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-8.05894281,-34.94593263,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,637.9058362477139,False
421946,2022-03-21,segunda-feira,14:17:00,PE,101.0,46,IGARASSU,Velocidade Incompatível,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Múltipla,Reta,Sim,3,0,0,1,1,1,1,2,-7.87406004,-34.90588126,SPRF-PE,DEL01-PE,UOP02-DEL01-PE,656.8751807241539,False
423101,2022-03-27,domingo,20:20:00,SC,101.0,46,JOINVILLE,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Curva,Não,2,0,0,0,1,1,0,2,-26.33150083,-48.86187762,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,5.511075013983161,False
423563,2022-03-30,quarta-feira,12:00:00,RJ,101.0,205,CASIMIRO DE ABREU,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-22.475714,-42.19184,SPRF-RJ,DEL08-RJ,UOP04-DEL08-RJ,17.28854060397938,False
426997,2022-04-08,sexta-feira,07:06:00,RJ,101.0,322,NITEROI,Conversão proibida,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-22.878923,-43.110676,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,1.5785602926342504,True
443150,2022-04-09,sábado,16:55:00,PE,101.0,70,RECIFE,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,0,1,3,0,1,4,-8.06776119,-34.94265074,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,637.3572446067948,False
